sentence,intent
Hi,greeting
Hi there,greeting
Hey,greeting
Hola,greeting
Good day,greeting
Namaste,greeting
yo,greeting
How are you,greeting
Is anyone there?,greeting
Hello,greeting
Good day,greeting
Good morning,greeting
Good afternoon,greeting
Good evening,greeting
Hello there,greeting
Bye,goodbye
See you later,goodbye
Goodbye,goodbye
"Nice chatting to you, bye",goodbye
Till next time,goodbye
bbye,goodbye
take care,goodbye
bye for now,goodbye
have a good day,goodbye
see you soon,goodbye
Thanks,thanks
Thank you,thanks
That's helpful,thanks
Thank's a lot!,thanks
Thank you very much,thanks
Thanks for helping me,thanks
Thanks for the help,thanks
How you could help me?,options
What you can do?,options
What help you provide?,options
How you can be helpful?,options
What support is offered,options
What can you do for me?,options
Tell me a joke!,funny
Tell me something funny!,funny
Do you know a joke?,funny
Joke,funny
I want to laugh,funny
I want to hear a joke,funny
I want to hear something funny,funny
Make me laugh,funny
I need a laugh,funny
Who are you,Identity
what are you,Identity
Whats up,whatsup
Wazzup,whatsup
How are you,whatsup
sup,whatsup
How you doing,whatsup
haha,haha
lol,haha
rofl,haha
lmao,haha
thats funny,haha
funny,haha
Who made you,programmer
who designed you,programmer
who programmed you,programmer
you are dumb,insult
shut up,insult
idiot,insult
you are stupid,insult
you are a fool,insult
you are a moron,insult
what are you doing,activity
what are you up to,activity
Awesome,exclaim
Great,exclaim
I know,exclaim
ok,exclaim
yeah,exclaim
Can you suggest a recipe with [ingredient]?,RequestIngredientRecipe
"I'm craving [ingredient], any recipe recommendations?",RequestIngredientRecipe
"I have [ingredient], what can I make with it?",RequestIngredientRecipe
"I want to cook something with [ingredient], any ideas?",RequestIngredientRecipe
Can you recommend a recipe with [ingredient]?,RequestIngredientRecipe
Recommend a recipe with [ingredient],RequestIngredientRecipe
I want to cook something with [ingredient],RequestIngredientRecipe
"I have [ingredient], what can I make with it?",RequestIngredientRecipe
"I want to cook something with [ingredient], any ideas?",RequestIngredientRecipe
Can you suggest a recipe with [ingredient]?,RequestIngredientRecipe
